"id_person_unique","id_fam1968","employed","emp_2023","sex","age_2021","emp_2021","educ_yrs_2021","days_unemp_2021","flourish_2021","soc_anxiety_2021","fam_expend_2021","female","emp_2021_working","log_fam_expend_2021","age_2023","food_ranout_2023","food_notlast_2023"
"2526_35",2526,1,1,2,25,1,16,0,8,5,25730.36,1,1,10.1554657604666,27,NA,NA
"2526_37",2526,1,1,1,17,1,11,0,12,5,40123.6,0,1,10.5997448915353,19,NA,NA
"2530_38",2530,1,2,2,25,3,12,0,6,4,30216.33,1,0,10.3161708798387,27,NA,NA
"2530_41",2530,1,1,1,20,1,12,0,11,4,77144,0,1,11.2534420468771,22,NA,NA
"2530_45",2530,1,1,2,16,7,9,NA,NA,NA,121935.94,1,0,11.7112593048383,18,NA,NA
"2541_32",2541,0,3,1,20,1,12,NA,NA,NA,160474.17,0,1,11.9858945055345,21,2,3
"2566_40",2566,1,1,1,20,1,12,0,16,5,24800,0,1,10.1186392539208,21,NA,NA
"2566_41",2566,1,1,1,22,1,12,0,14,4,28602.51,0,1,10.2612847165503,24,NA,NA
"2566_43",2566,1,1,1,18,1,12,0,10,4,37583.63,0,1,10.5343504692103,20,NA,NA
"2569_40",2569,1,1,1,20,1,11,0,11,2,122950,0,1,11.7195411809988,22,NA,NA
"2569_41",2569,1,1,2,20,7,11,0,7,4,43541.77,1,0,10.681498952425,22,2,3
"2581_33",2581,1,1,2,16,1,10,NA,NA,NA,74199.24,1,1,11.2145226636516,19,NA,NA
"2590_42",2590,1,1,2,26,1,14,0,10,3,14245,1,1,9.5642314445383,27,NA,NA
"2590_43",2590,1,1,1,24,1,12,0,13,5,36340,0,1,10.5007018594582,26,NA,NA
"2590_44",2590,1,1,1,24,1,12,0,18,3,43881.77,0,1,10.689277039106,26,NA,NA
"2591_35",2591,1,1,2,24,1,13,0,10,3,56400.07,1,1,10.9402434089374,26,NA,NA
"2593_33",2593,1,1,2,25,1,17,0,6,3,62350,1,1,11.0405349894719,27,NA,NA
"2593_36",2593,1,1,2,16,7,9,NA,NA,NA,75101.07,1,0,11.2266034006214,18,NA,NA
"2603_33",2603,1,1,2,26,3,14,0,13,4,30725,1,0,10.3328644806906,27,NA,NA
"2611_38",2611,1,1,1,24,1,16,0,15,2,95124.96,0,1,11.4629571870973,26,NA,NA
"2611_39",2611,1,1,1,22,7,15,0,11,4,27773,0,0,10.2318556102593,24,NA,NA
"2611_42",2611,1,1,1,21,7,14,0,NA,NA,27773,0,0,10.2318556102593,23,2,2
"2611_45",2611,1,1,2,19,1,13,0,11,4,102896,1,1,11.5414837668782,20,3,3
